category,phrase,rank
bigrams,of the,1
bigrams,going to,2
bigrams,you are,3
bigrams,in the,4
bigrams,you can,5
bigrams,and you,6
bigrams,that you,7
bigrams,do you,8
bigrams,you have,9
bigrams,it is,10
bigrams,you know,11
bigrams,to the,12
bigrams,in a,13
bigrams,to be,14
bigrams,and i,15
bigrams,want to,16
bigrams,to do,17
bigrams,you will,18
bigrams,when you,19
bigrams,you to,20
bigrams,is a,21
bigrams,on the,22
bigrams,that is,23
bigrams,to have,24
bigrams,if you,25
bigrams,and the,26
bigrams,i think,27
bigrams,like to,28
bigrams,you want,29
bigrams,i want,30
bigrams,a trance,31
bigrams,that i,32
bigrams,have to,33
bigrams,and then,34
bigrams,i am,35
bigrams,there is,36
bigrams,to you,37
bigrams,of your,38
bigrams,i know,39
bigrams,into a,40
bigrams,but you,41
bigrams,all the,42
bigrams,have a,43
bigrams,i can,44
bigrams,all right,45
bigrams,the patient,46
bigrams,to me,47
bigrams,i was,48
bigrams,at the,49
bigrams,your unconscious,50
trigrams,you want to,1
trigrams,want you to,2
trigrams,into a trance,3
trigrams,would like to,4
trigrams,i want you,5
trigrams,is going to,6
trigrams,go into a,7
trigrams,like to have,8
trigrams,are going to,9
trigrams,i would like,10
trigrams,your unconscious mind,11
trigrams,you have to,12
trigrams,a lot of,13
trigrams,in a trance,14
trigrams,do you think,15
trigrams,to have you,16
trigrams,that you are,17
trigrams,and you can,18
trigrams,you need to,19
trigrams,am going to,20
trigrams,how do you,21
trigrams,i am going,22
trigrams,you are going,23
trigrams,there is a,24
trigrams,that you can,25
trigrams,i want to,26
trigrams,going to be,27
trigrams,it is a,28
trigrams,to go into,29
trigrams,you ought to,30
trigrams,i think you,31
trigrams,close your eyes,32
trigrams,and you are,33
trigrams,do you want,34
trigrams,that you have,35
trigrams,not going to,36
trigrams,the fact that,37
trigrams,to have a,38
trigrams,you know that,39
trigrams,what do you,40
trigrams,and you will,41
trigrams,you know what,42
trigrams,to do it,43
trigrams,you like to,44
trigrams,one of the,45
trigrams,your right hand,46
trigrams,more and more,47
trigrams,you think you,48
trigrams,you are a,49
trigrams,for you to,50
quadgrams,i want you to,1
quadgrams,i would like to,2
quadgrams,like to have you,3
quadgrams,go into a trance,4
quadgrams,i am going to,5
quadgrams,would like to have,6
quadgrams,you are going to,7
quadgrams,to go into a,8
quadgrams,would you like to,9
quadgrams,do you think you,10
quadgrams,do you want to,11
quadgrams,are you going to,12
quadgrams,you would like to,13
quadgrams,close your eyes and,14
quadgrams,i can think of,15
quadgrams,take a deep breath,16
quadgrams,she is going to,17
quadgrams,you are in a,18
quadgrams,is going to be,19
quadgrams,into a trance and,20
quadgrams,a great deal of,21
quadgrams,and i want you,22
quadgrams,a deep breath and,23
quadgrams,if you want to,24
quadgrams,how do you feel,25
quadgrams,a lot of things,26
quadgrams,it is going to,27
quadgrams,of the fact that,28
quadgrams,you know that you,29
quadgrams,you want me to,30
quadgrams,now i am going,31
quadgrams,what do you think,32
quadgrams,the rest of the,33
quadgrams,in the trance state,34
quadgrams,going to ask you,35
quadgrams,to listen to me,36
quadgrams,into a deep trance,37
quadgrams,went into a trance,38
quadgrams,at the same time,39
quadgrams,as soon as you,40
quadgrams,you want to go,41
quadgrams,going into a trance,42
quadgrams,want to go into,43
quadgrams,you go into a,44
quadgrams,you really ought to,45
quadgrams,think you ought to,46
quadgrams,know that you are,47
quadgrams,he is going to,48
quadgrams,see to it that,49
quadgrams,the end of the,50
collocations,golden drumstick,1
collocations,screech owl,2
collocations,goose bumps,3
collocations,botanical gardens,4
collocations,um hum,5
collocations,sibling rivalry,6
collocations,san francisco,7
collocations,van buren,8
collocations,nonsense syllables,9
collocations,da da,10
collocations,african violets,11
collocations,bathing suit,12
collocations,jigsaw puzzle,13
collocations,squaw peak,14
collocations,n o,15
collocations,o w,16
collocations,commit suicide,17
collocations,picket fence,18
collocations,mosquito bite,19
collocations,tape recorder,20
